
start_date : 1972-1-1
end_date   : 2018-1-1


inputs :

"Foliage and fine root litter inputs" linear_interpolate :
1970-1-1   30
2000-1-1   10
2020-12-1  25

"Fine wood litter inputs" linear_interpolate :
1970-1-1   70
2000-1-1   60
2020-12-1  65

"Coarse wood litter inputs" linear_interpolate :
1970-1-1   40
1990-1-1   60
2020-12-1  55



"Air temperature" :
1972-01-01    5.811560
1973-01-01    6.105573
1974-01-01    6.655363
1975-01-01    6.989003
1976-01-01    5.667233
1977-01-01    5.456196
1978-01-01    5.183301
1979-01-01    4.301617
1980-01-01    5.086282
1981-01-01    4.953007
1982-01-01    6.015136
1983-01-01    6.605088
1984-01-01    6.354400
1985-01-01    4.250762
1986-01-01    4.922940
1987-01-01    4.526601
1988-01-01    6.432901
1989-01-01    7.430182
1990-01-01    7.537037
1991-01-01    6.492920
1992-01-01    6.749474
1993-01-01    5.778227
1994-01-01    6.064501
1995-01-01    6.358749
1996-01-01    4.963670
1997-01-01    6.747835
1998-01-01    6.201954
1999-01-01    6.699038
2000-01-01    7.518620
2001-01-01    6.060523
2002-01-01    6.813249
2003-01-01    6.793519
2004-01-01    6.784207
2005-01-01    6.882774
2006-01-01    7.408099
2007-01-01    7.179974
2008-01-01    7.428931
2009-01-01    6.597186
2010-01-01    4.539124
2011-01-01    7.027947
2012-01-01    6.361695
2013-01-01    6.001947
2014-01-01    8.055205
2015-01-01    7.290123
2016-01-01    6.939326
2017-01-01    6.975988
2018-01-01    7.306535
