Param_long,Indexes,ShortName,Min,Max
Degree-day factor for snowmelt,,DDFmelt,0.1,5
Proportion of precipitation that contributes to quick flow,,fquick,0,0.99
PET multiplication factor,,alphaPET,0,2
Soil field capacity,,FC,0.1,1000
Baseflow index,,BFI,0.01,0.99
Groundwater time constant,,T_gw,10,100
Minimum groundwater flow,,Qgw_min,0,1
Gradient of reach velocity-discharge relationship,,a_Q,0.01,1
Soil water time constant,Arable,Ts_A,0.01,7
Soil water time constant,Semi-natural,Ts_SN,4,15
Reach sediment input scaling factor,,k_sed,500,5000
Sediment input non-linear coefficient,,k_sed_power,1,3
Groundwater TDP concentration,,TDP_gw,0,0.04
Particulate P enrichment factor,,E_PP,1,5
SRP fraction,,SRP_fTDP,0.2,1
Reach effluent TDP inputs,Kure,TDPeff_R1,0.05,1.5
Initial soil water TDP concentration and EPC0,Arable,EPC0_init_A,0.05,0.2
M_Q,,M_Q,,
M_TP,,M_TP,,
