Param_long,Indexes,ShortName,Min,Max,Initial
Degree-day factor for snowmelt,,DDFmelt,0.5,4,2.74
Proportion of precipitation that contributes to quick flow,,fquick,0.002,0.2,0.02
PET multiplication factor,,alphaPET,0.5,1,0.7
Baseflow index,,BFI,0.1,0.6,0.4
Groundwater time constant,,T_gw,15,100,30
Soil water time constant,Semi-natural,Ts_SN,1,15,3
Reach sediment input scaling factor,,k_sed,500,50000,11000
Groundwater TDP concentration,,TDP_gw,0.001,0.03,0.01
Particulate P enrichment factor,,E_PP,1,4,1.5
Reach effluent TDP inputs,Kure,TDPeff_R1,0.05,3.5,2
M_Q,,M_Q,0.05,5,0.5
M_TP,,M_TP,0.01,5,0.05
