Param_long,Indexes,ShortName,Min,Max,Initial
Degree-day factor for snowmelt,,DDFmelt,0.5,4,2.74
Proportion of precipitation that contributes to quick flow,,fquick,0.002,0.2,0.02
PET multiplication factor,,alphaPET,0.5,1,0.7
Baseflow index,,BFI,0.1,0.6,0.4
Groundwater time constant,,T_gw,15,100,30
Soil water time constant,Semi-natural,Ts_SN,1,15,3
Reach sediment input scaling factor,,k_sed,500,50000,11000
Initial soil water TDP concentration and EPC0,Arable,TDP_sw,0.05,0.2,0.15
Groundwater TDP concentration,,TDP_gw,0.001,0.03,0.01
Particulate P enrichment factor,,E_PP,1,4,1.5
Reach effluent TDP inputs,Kure,TDPeff,0.05,3.5,2
M_Q,,M_Q,0.05,3,0.5
M_SS,,M_SS,0.05,5,0.5
M_P,,M_P,0.05,2,0.5
