Date	Q_6	Q_5	Q_4	Q_3	Q_2	Q_1	Vol_6	Vol_5	Vol_4	Vol_3	Vol_2	Vol_1
2021-08-10	1.01872	1.20939	1.34817	1.814	2.38851	2.75307	31295	12441.6	14273.8	19921.5	34519	27157.9
2021-08-11	0.802736	0.902934	0.999575	1.35966	1.80591	2.06476	27076.5	10407.4	11884.3	16686.5	29037.3	22706.7
2021-08-12	0.76632	0.826426	0.902731	1.22924	1.63206	1.83946	26323.2	9860.38	11166.9	15686.1	27280.3	21137.1
2021-08-13	0.778939	0.828957	0.899813	1.22299	1.6199	1.81098	26586.3	9878.77	11144.8	15637.1	27154.9	20933.9
2021-08-14	0.723525	0.785072	0.854816	1.15898	1.53386	1.7207	25420.7	9556.67	10801.2	15130.6	26257.2	20281.8
2021-08-15	0.695229	0.748878	0.815478	1.10759	1.46708	1.64491	24813.4	9285.82	10495.1	14716.3	25547.8	19724.6
2021-08-16	0.669565	0.720974	0.784549	1.06526	1.41081	1.58115	24254.4	9073.56	10250.4	14369.6	24940.5	19248.6
2021-08-17	0.642291	0.692293	0.753469	1.02283	1.35439	1.51813	23650.5	8852.09	10000.8	14016.8	24322.5	18771.1
2021-08-18	0.616229	0.664243	0.723013	0.981484	1.29959	1.45682	23064	8632.07	9752.46	13667.6	23713.1	18299.5
2021-08-19	0.586381	0.633316	0.689645	0.935919	1.23909	1.38979	22379.7	8385.3	9475.68	13276.2	23028.9	17775.5
